code,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRD,Grenada,96200.00,96368.00,97113.00,98212.00,99313.00,100163.00,100707.00,101039.00,101219.00,101354.00,101522.00,101731.00,101954.00,102195.00,102455.00,102734.00,103037.00,103368.00,103723.00,104097.00,104487,..
GRC,Greece,10161000.00,10260000.00,10370000.00,10466000.00,10553000.00,10634000.00,10709000.00,10777000.00,10835000.00,10883000.00,10917482.00,10949957.00,10987543.00,11023514.00,11061701.00,11103965.00,11148460.00,11192763.00,11237094.00,11282760.00,11319048.00,..
GRL,Greenland,55600.00,55500.00,55300.00,55200.00,55500.00,55800.00,55900.00,56000.00,56100.00,56100.00,56200.00,56350.00,56600.00,56765.00,56912.00,56935.00,56774.00,56555.00,56328.00,56323.00,56534,..
ZWE,Zimbabwe,10469202.00,10748215.00,11005690.00,11244552.00,11469872.00,11684693.00,11891290.00,12086519.00,12261742.00,12405236.00,12509477.00,12575015.00,12607791.00,12612956.00,12597877.00,12570686.00,12529655.00,12481245.00,12451543.00,12473992.00,12571454,..
MOZ,Mozambique,13547076.00,13867422.00,14318167.00,14854590.00,15409381.00,15933452.00,16412893.00,16862385.00,17295521.00,17735992.00,18200656.00,18691461.00,19200021.00,19721009.00,20246287.00,20770013.00,21290952.00,21811326.00,22332900.00,22858607.00,23390765.00,..
TJK,Tajikistan,5303152.00,5418785.00,5519021.00,5607922.00,5691845.00,5775404.00,5860334.00,5945181.00,6027676.00,6104268.00,6172807.00,6232587.00,6285809.00,6336724.00,6391120.00,6453240.00,6524634.00,6604426.00,6691416.00,6783390.00,6878637.00,..
HTI,Haiti,7124877.00,7273530.00,7422881.00,7573160.00,7724690.00,7877569.00,8031903.00,8187204.00,8342233.00,8495358.00,8645371.00,8791931.00,8935252.00,9075399.00,9212634.00,9347262.00,9479136.00,9608453.00,9736332.00,9864241.00,9993247,..
MEX,Mexico,84306602.00,85923799.00,87523328.00,89109703.00,90691331.00,92272749.00,93858373.00,95441345.00,97001933.00,98513690.00,99959594.00,101329543.00,102634153.00,103902569.00,105175967.00,106483757.00,107835259.00,109220753.00,110627158.00,112033369.00,113423047,..
LCA,St. Lucia,134100.00,136000.00,137151.00,139908.00,142689.00,145437.00,147062.00,149666.00,151952.00,153703.00,155996.00,157897.00,159133.00,160620.00,162434.00,164791.00,166838.00,168338.00,170204.56,172091.82,174000,..
IND,India,849515000.00,866530000.00,882821000.00,899329000.00,915697000.00,932180000.00,948758852.89,965428183.11,982182462.14,999016010.50,1015923000.00,1032473426.10,1048640720.59,1064398611.55,1079721193.95,1094583000.00,1109811147.45,1124786997.10,1139964931.64,1155347678.03,1170938000.00,..
LVA,Latvia,2670700.00,2662000.00,2632000.00,2586000.00,2548000.00,2515000.00,2491000.00,2450000.00,2410000.00,2390000.00,2372000.00,2359000.00,2338000.00,2325342.00,2312819.00,2300512.00,2287948.00,2276100.00,2266094.00,2254834.00,2242916.00,..
BTN,Bhutan,558500.00,555747.00,546356.00,533895.00,523417.00,518584.00,520529.00,528222.00,540507.00,555377.00,571262.00,588050.00,606024.00,624431.00,642400.00,659293.00,674681.00,688581.00,701363.00,713665.00,725940,..
VNM,Vietnam,66016700.00,67242400.00,68450100.00,69644500.00,70824500.00,71995500.00,73156700.00,74306900.00,75456300.00,76596700.00,77630900.00,78621000.00,79538700.00,80468400.00,81437700.00,82393500.00,83313000.00,84221100.00,85122300.00,86024600.00,86936464.42,..
NOR,Norway,4241500.00,4261700.00,4286400.00,4312000.00,4336600.00,4360000.00,4381000.00,4404100.00,4432000.00,4460000.00,4491000.00,4513000.00,4538000.00,4564855.00,4591910.00,4623291.00,4660677.00,4709153.00,4768212.00,4828726.00,4885240.00,..
CZE,Czech Republic,10363000.00,10309000.00,10318000.00,10331000.00,10336000.00,10331000.00,10315000.00,10304100.00,10294900.00,10283000.00,10273300.00,10224000.00,10204853.00,10207362.00,10216016.00,10235828.00,10269134.00,10334160.00,10424336.00,10487178.00,10525090.00,..
TMP,Timor-Leste,743145.00,767267.00,794561.00,821141.00,841687.00,852817.00,852280.00,842341.00,829617.00,823386.00,830089.00,852522.00,888099.00,931324.00,974024.00,1010367.00,1038572.00,1060770.00,1079749.00,1099887.00,1124355.00,..
ATG,Antigua and Barbuda,62202.00,62754.00,63802.00,65238.00,66895.00,68642.00,70450.00,72322.00,74190.00,75985.00,77656.00,79165.00,80507.00,81716.00,82838.00,83916.00,84952.00,85935.00,86881.00,87802.00,88710,..
FJI,Fiji,728390.00,735262.00,744396.00,754981.00,765725.00,775651.00,784713.00,793165.00,800685.00,806927.00,811718.00,814780.00,816336.00,817339.00,819102.00,822553.00,828046.00,835267.00,843651.00,852323.00,860623,..
HND,Honduras,4889311.00,5026843.00,5165380.00,5303798.00,5440691.00,5575099.00,5706605.00,5835607.00,5963008.00,6090164.00,6218151.00,6347272.00,6477525.00,6609337.00,6743128.00,6879243.00,7017769.00,7158819.00,7302742.00,7449923.00,7600524.00,..
MUS,Mauritius,1057000.00,1066655.86,1081000.00,1097000.00,1113000.00,1122457.00,1133996.00,1148284.00,1160421.00,1175267.00,1186873.00,1199881.00,1210196.00,1222811.00,1233386.00,1243253.00,1252987.00,1260692.00,1268854.00,1275323.00,1281214.00,..
DOM,Dominican Republic,7194666.00,7339826.00,7485619.00,7631076.00,7774932.00,7916309.00,8054768.00,8190620.00,8324680.00,8458164.00,8591967.00,8726256.00,8860760.00,8995398.00,9129965.00,9264267.00,9398285.00,9531954.00,9664948.00,9796852.00,9927320,..
LUX,Luxembourg,381850.00,387000.00,392175.00,397475.00,402925.00,408625.00,414225.00,419450.00,424700.00,430475.00,436300.00,441525.00,446175.00,451630.00,458095.00,465158.00,472637.00,479993.00,488650.00,497783.00,505831,..
ISR,Israel,4660000.00,4949000.00,5123000.00,5261000.00,5399000.00,5545000.00,5692000.00,5836000.00,5971000.00,6125000.00,6289000.00,6439000.00,6570000.00,6689700.00,6809000.00,6930100.00,7053700.00,7180100.00,7308800.00,7485600.00,7624600.00,..
FSM,Micronesia Fed. Sts.,96319.00,98749.00,101314.00,103780.00,105825.00,107233.00,107904.00,107947.00,107605.00,107237.00,107103.00,107290.00,107728.00,108325.00,108926.00,109419.00,109789.00,110092.00,110367.00,110676.00,111064,..
PER,Peru,21685537.00,22122065.00,22553275.00,22980182.00,23404523.00,23827163.00,24248671.00,24667356.00,25079136.00,25478577.00,25861887.00,26228274.00,26579252.00,26916342.00,27242033.00,27558769.00,27866387.00,28166078.00,28463338.00,28765162.00,29076512.00,..
SXM,Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,31240.00,31084.00,30519.40,31189.00,32566.00,33791.00,35318.00,36936.00,38272.00,39464.00,40459.00,39133.00,37850.4582169604,..
IDN,Indonesia,184345939.00,187451800.00,190512441.00,193525648.00,196488446.00,199400339.00,202257039.00,205063468.00,207839287.00,210610776.00,213395411.00,216203499.00,219026365.00,221839235.00,224606531.00,227303175.00,229918547.00,232461746.00,234951154.00,237414495.00,239870937.00,..
VUT,Vanuatu,146636.00,150791.00,155270.00,159857.00,164254.00,168263.00,171783.00,174921.00,177946.00,181239.00,185074.00,189544.00,194555.00,199968.00,205561.00,211170.00,216760.00,222377.00,228041.00,233790.00,239651,..
MKD,Macedonia FYR,1909353.00,1922774.00,1934265.00,1944343.00,1953874.00,1963484.00,1973283.00,1982994.00,1992404.00,2001178.00,2009091.00,2016075.00,2022255.00,2027819.00,2033039.00,2038109.00,2043091.00,2047922.00,2052524.00,2056769.00,2060563.00,..
SUR,Suriname,406890.00,413011.00,418828.00,424455.00,430102.00,435920.00,441896.00,447957.00,454124.00,460419.00,466846.00,473431.00,480132.00,486800.00,493236.00,499294.00,504913.00,510136.00,515066.00,519861.00,524636,..
COG,Congo Rep.,2388902.00,2453938.00,2520196.00,2588270.00,2658948.00,2732706.00,2810118.00,2890841.00,2973329.00,3055437.00,3135773.00,3213330.00,3288923.00,3365171.00,3445765.00,3533177.00,3628561.00,3730612.00,3836339.00,3941454.00,4042899.00,..
ISL,Iceland,254800.00,258000.00,261100.00,263800.00,266000.00,268000.00,270000.00,272000.00,274000.00,277500.00,281000.00,285000.00,288000.00,289521.00,292074.00,296734.00,303782.00,311566.00,317414.00,318499.00,317398,..
COK,Cook Islands,17614.00,17730.00,17909.00,18105.00,18252.00,18307.00,18246.00,18095.00,17919.00,17808.00,17830.00,18007.00,18311.00,18693.00,19075.00,19402.00,19659.00,19861.00,20019.00,20156.00,20288,..
COM,Comoros,437876.00,448576.00,459515.00,470765.00,482401.00,494486.00,507062.00,520151.00,533754.00,547864.00,562469.00,577569.00,593170.00,609271.00,625876.00,642974.00,660559.00,678602.00,697034.00,715774.00,734750,..
COL,Colombia,33203321.00,33849971.00,34497319.00,35146220.00,35797965.00,36453337.00,37112621.00,37775054.00,38439099.00,39102653.00,39764166.00,40422597.00,41078136.00,41731914.00,42385712.00,43040558.00,43696540.00,44352327.00,45005782.00,45654044.00,46294841.00,..
PRT,Portugal,9896000.00,9935000.00,9963000.00,9974000.00,9998000.00,10027000.00,10055000.00,10089000.00,10129000.00,10174000.00,10225836.00,10292999.00,10368403.00,10441075.00,10501970.00,10549424.00,10584344.00,10608335.00,10622413.00,10632482.00,10642841.00,..
MDA,Moldova,3696000.00,3706000.00,3709000.00,3705000.00,3694000.00,3675099.00,3667748.00,3659655.00,3652771.00,3646999.00,3639588.00,3631460.00,3623059.00,3612869.00,3603934.00,3595182.00,3585520.00,3576904.00,3570107.00,3565603.00,3562062.00,..
STP,Sao Tome and Principe,116117.00,118512.00,120835.00,123137.00,125488.00,127935.00,130499.00,133152.00,135838.00,138475.00,141010.00,143430.00,145761.00,148038.00,150311.00,152622.00,154970.00,157361.00,159852.00,162515.00,165397,..
MDG,Madagascar,11280625.00,11620718.00,11974724.00,12343496.00,12728117.00,13129227.00,13547271.00,13981666.00,14430739.00,14892172.00,15364272.00,15846412.00,16338968.00,16842482.00,17357913.00,17885967.00,18426870.00,18980391.00,19546282.00,20124150.00,20713819,..
ECU,Ecuador,10260587.00,10493498.00,10725281.00,10953182.00,11173647.00,11384506.00,11584074.00,11774005.00,11959586.00,12148188.00,12345023.00,12552036.00,12767415.00,12987992.00,13208869.00,13426402.00,13639708.00,13849721.00,14056740.00,14261566.00,14464739.00,..
SEN,Senegal,7241573.00,7461567.00,7686866.00,7915080.00,8143140.00,8369125.00,8591861.00,8812695.00,9035367.00,9265135.00,9505862.00,9758841.00,10023194.00,10297956.00,10581316.00,10871908.00,11169549.00,11474661.00,11787123.00,12106865.00,12433728.00,..
MDV,Maldives,219474.00,225709.00,231756.00,237606.00,243256.00,248712.00,253960.00,259002.00,263867.00,268600.00,273236.00,277791.00,282266.00,286665.00,290988.00,295240.00,299419.00,303539.00,307632.00,311739.00,315885,..
ASM,American Samoa,47052.00,48402.00,49648.00,50801.00,51885.00,52919.00,53901.00,54834.00,55745.00,56667.00,57625.00,58633.00,59687.00,60774.00,61871.00,62962.00,64045.00,65130.00,66217.00,67312.00,68420,..
CUW,Curacao,..,..,..,..,..,..,..,..,144472.00,139428.42,133860.22,128752.13,128182.00,130006.00,131591.06,134464.66,137490.00,139841.00,141279.00,141972.00,142668.399295012,..
FRA,France,58183174.00,58454894.00,58711078.00,58955673.00,59194619.00,59433490.00,59670985.00,59909141.00,60160764.00,60351778.00,60762169.00,61201676.00,61644062.00,62078165.00,62532556.00,63001253.00,63437350.00,63826178.00,64188219.00,64542729.00,64876618.4337123,..
LTU,Lithuania,3698000.00,3704000.00,3700000.00,3683000.00,3658000.00,3632000.00,3605000.00,3580000.00,3555000.00,3531000.00,3499536.00,3481292.00,3469070.00,3454205.00,3435591.00,3414304.00,3394082.00,3375618.00,3358115.00,3339456.00,3320656.00,..
RWA,Rwanda,7109538.00,6871192.00,6452688.00,5984449.00,5648306.00,5570206.00,5803830.00,6297733.00,6944116.00,7582861.00,8098344.00,8456968.00,8696378.00,8857859.00,9009655.00,9201727.00,9441406.00,9710531.00,10004092.00,10311275.00,10624005.00,..
ZMB,Zambia,7860053.00,8067972.00,8272498.00,8478471.00,8692599.00,8919456.00,9161931.00,9418120.00,9682058.00,9945115.00,10201562.00,10449825.00,10693471.00,10938261.00,11192422.00,11462365.00,11750105.00,12055384.00,12379612.00,12723746.00,12926409,..
GMB,Gambia The,966151.00,1001252.00,1033748.00,1064522.00,1094974.00,1126183.00,1158308.00,1191155.00,1225044.00,1260283.00,1297084.00,1335674.00,1376035.00,1417818.00,1460493.00,1503678.00,1547259.00,1591357.00,1636107.00,1681734.00,1728394.00,..
FRO,Faeroe Islands,47558.00,46995.00,46050.00,44953.00,44022.00,43483.00,43416.00,43746.00,44358.00,45070.00,45743.00,46358.00,46944.00,47472.00,47915.00,48258.00,48475.00,48572.00,48597.00,48625.00,48708,..
GTM,Guatemala,8923131.00,9131088.00,9345130.00,9564571.00,9788284.00,10015675.00,10246429.00,10481515.00,10723154.00,10974314.00,11237101.00,11512637.00,11800351.00,12098576.00,12404764.00,12717154.00,13034904.00,13358842.00,13690846.00,14033623.00,14388929,..
DNK,Denmark,5140000.00,5154000.00,5170000.00,5189000.00,5205000.00,5228000.00,5262000.00,5284220.00,5301000.00,5319111.00,5337344.00,5355082.00,5374255.00,5387174.00,5401177.00,5415978.00,5437272.00,5461438.00,5493621.00,5523095.00,5544139.00,..
UKR,Ukraine,51892000.00,52000469.74,52150265.73,52179209.70,51921041.29,51512298.61,51057188.98,50594105.02,50143939.13,49673349.99,49175847.64,48683864.58,48202500.00,47812950.00,47451600.00,47105150.00,46787750.00,46509350.00,46258200.00,46053300.00,45870700.00,..
AUS,Australia,17065100.00,17284000.00,17495000.00,17667000.00,17855000.00,18072000.00,18311000.00,18517000.00,18711000.00,18926000.00,19153000.00,19413000.00,19651400.00,19895400.00,20127400.00,20394800.00,20697900.00,21072500.00,21498500.00,21951700.00,22328800.00,..
AUT,Austria,7710882.00,7798899.00,7782519.00,7928746.00,7928746.00,7953067.00,7964966.00,7971116.00,7982461.00,8002186.00,8011560.51,8043015.64,8083639.30,8117800.00,8174700.00,8233300.00,8282424.00,8300788.00,8336926.00,8365275.00,8384745.00,..
IMY,Isle of Man,70313.00,70963.00,71305.00,71484.00,71724.00,72183.00,72908.00,73832.00,74870.00,75892.00,76803.00,77577.00,78246.00,78840.00,79410.00,79994.00,80598.00,81203.00,81798.00,82358.00,82869,..
ADO,Andorra,52773.00,54996.00,57767.00,60670.00,63111.00,64699.00,65227.00,64905.00,64246.00,63985.00,64634.00,66390.00,69043.00,72203.00,75292.00,77888.00,79874.00,81390.00,82577.00,83677.00,84864,..
PLW,Palau,15089.00,15471.00,15894.00,16345.00,16804.00,17254.00,17694.00,18122.00,18522.00,18876.00,19172.00,19402.00,19573.00,19698.00,19803.00,19906.00,20011.00,20118.00,20228.00,20346.00,20472,..
KEN,Kenya,23447177.00,24240108.00,25042330.00,25846436.00,26642887.00,27425720.00,28191597.00,28944780.00,29696410.00,30462154.00,31253701.00,32076186.00,32927864.00,33805301.00,34702176.00,35614576.00,36540948.00,37485246.00,38455418.00,39462188.00,40512682.00,..
WSM,Samoa,161308.00,162504.00,163790.00,165172.00,166662.00,168257.00,169969.00,171766.00,173543.00,175169.00,176549.00,177645.00,178488.00,179141.00,179699.00,180237.00,180766.00,181277.00,181809.00,182401.00,183081,..
TUR,Turkey,54130268.00,55068880.00,56012109.00,56959988.00,57911273.00,58864649.00,59821978.00,60783217.00,61742674.00,62692616.00,63627862.00,64544914.00,65446165.00,66339433.00,67235927.00,68143186.00,69063538.00,69992754.00,70923730.00,71846212.00,72752325.00,..
ALB,Albania,3289483.00,3291695.00,3266983.00,3224901.00,3179442.00,3141102.00,3112597.00,3091902.00,3079037.00,3072725.00,3071856.00,3077378.00,3089778.00,3106701.00,3124861.00,3141800.00,3156607.00,3169665.00,3181397.00,3192723.00,3204284.00,..
OMN,Oman,1868055.00,1947042.00,2031377.00,2113398.00,2182619.00,2232018.00,2258730.00,2266469.00,2262969.00,2259398.00,2264163.00,2279171.00,2302874.00,2335967.00,2378336.00,2429510.00,2490620.00,2561187.00,2636963.00,2712141.00,2782435.00,..
TUV,Tuvalu,9004.00,9056.00,9103.00,9148.00,9188.00,9227.00,9264.00,9298.00,9334.00,9374.00,9419.00,9471.00,9530.00,9590.00,9646.00,9694.00,9732.00,9762.00,9786.00,9806.00,9827,..
ITA,Italy,56719000.00,56758650.00,56797650.00,56832750.00,56844650.00,56846100.00,56862800.00,56893800.00,56910950.00,56921550.00,56948600.00,56980700.00,57157400.00,57604650.00,58175300.00,58607050.00,58941499.00,59375289.00,59832179.00,60192698.00,60483521.00,..
BRN,Brunei Darussalam,252125.00,259357.00,266794.00,274371.00,282000.00,289614.00,297188.00,304726.00,312216.00,319654.00,327036.00,334348.00,341585.00,348771.00,355943.00,363123.00,370317.00,377513.00,384695.00,391837.00,398920,..
TUN,Tunisia,8154400.00,8318200.00,8489900.00,8657400.00,8815400.00,8957500.00,9089300.00,9215000.00,9333300.00,9455900.00,9563500.00,9673600.00,9781900.00,9839800.00,9932400.00,10029000.00,10127900.00,10225100.00,10328900.00,10439600.00,10549100.00,..
RUS,Russian Federation,148292000.00,148624000.00,148689000.00,148520000.00,148336000.00,148141000.00,147739000.00,147304000.00,146899000.00,146309000.00,146303000.00,145949580.34,145299690.30,144599446.75,143849574.21,143150000.00,142500000.00,142100000.00,141950000.00,141850000.00,141750000.00,..
BRB,Barbados,259501.00,260351.00,261136.00,261885.00,262637.00,263416.00,264237.00,265088.00,265941.00,266758.00,267511.00,268192.00,268813.00,269389.00,269947.00,270503.00,271062.00,271618.00,272180.00,272750.00,273331,..
BRA,Brazil,149650206.00,152146887.00,154582103.00,156985824.00,159398558.00,161848162.00,164342524.00,166869168.00,169409713.00,171936271.00,174425387.00,176877135.00,179289227.00,181633074.00,183873377.00,185986964.00,187958211.00,189798070.00,191543237.00,193246610.00,194946470.00,..
CIV,Cote d'Ivoire,12517730.00,12945880.00,13381799.00,13820229.00,14253952.00,14677200.00,15089912.00,15492127.00,15878555.00,16242889.00,16581653.00,16892864.00,17180649.00,17455501.00,17731840.00,18020946.00,18325979.00,18646754.00,18987007.00,19350026.00,19737800.00,..
SRB,Serbia,7586000.00,7595636.00,7646424.35,7699306.77,7734639.24,7738986.60,7708878.21,7649630.75,7567745.00,7540401.00,7516346.00,7503433.00,7500031.00,7480591.00,7463157.00,7440769.00,7411569.00,7381579.00,7350221.00,7320807.00,7292574.00,..
GNQ,Equatorial Guinea,373887.00,386536.00,399843.00,413730.00,428005.00,442527.00,457321.00,472486.00,488039.00,504001.00,520380.00,537195.00,554429.00,571999.00,589794.00,607739.00,625777.00,643936.00,662327.00,681115.00,700401,..
USA,United States,249623000.00,252981000.00,256514000.00,259919000.00,263126000.00,266278000.00,269394000.00,272657000.00,275854000.00,279040000.00,282172000.00,285082000.00,287804000.00,290326000.00,293046000.00,295753000.00,298593000.00,301580000.00,304375000.00,307007000.00,309050816.00,..
QAT,Qatar,473722.00,482926.00,488204.00,491420.00,495126.00,501371.00,512422.00,528787.00,548828.00,569870.00,590957.00,608057.00,624173.00,653500.00,715146.00,820986.00,978336.00,1178192.00,1396060.00,1597765.00,1758793.00,..
SWE,Sweden,8559000.00,8617400.00,8668000.00,8718600.00,8780700.00,8831000.00,8843000.00,8849437.00,8851800.00,8857400.00,8869000.00,8894000.00,8924000.00,8956000.00,8991994.00,9024040.00,9080505.00,9148092.00,9219637.00,9298515.00,9379116.00,..
AZE,Azerbaijan,7159000.00,7271000.00,7382000.00,7495000.00,7597000.00,7685000.00,7763000.00,7838000.00,7913000.00,7983000.00,8048534.79,8111143.78,8171892.90,8234039.36,8306399.80,8391850.00,8484550.00,8581300.00,8763400.00,8947150.00,9047932.00,..
GNB,Guinea-Bissau,1016695.00,1037431.00,1058839.00,1080767.00,1103003.00,1125392.00,1147908.00,1170619.00,1193585.00,1216902.00,1240655.00,1264855.00,1289526.00,1314795.00,1340814.00,1367695.00,1395492.00,1424191.00,1453757.00,1484120.00,1515224.00,..
WBG,West Bank and Gaza,1978248.40,2068845.13,2163590.85,2262675.60,2366298.07,2474666.09,2587996.97,2706518.00,2802299.02,2901469.63,3004149.79,3110463.71,3220539.97,3334511.72,3452516.82,3574698.00,3701203.05,3832185.00,3937309.00,4043218.00,4152102.00,..
SWZ,Swaziland,862947.00,887467.00,908158.00,926420.00,944404.00,963591.00,984632.00,1006824.00,1028708.00,1048174.00,1063832.00,1075083.00,1082777.00,1088724.00,1095487.00,1104909.00,1117604.00,1133007.00,1150344.00,1168345.00,1186056.00,..
TON,Tonga,95150.00,95305.00,95426.00,95541.00,95691.00,95907.00,96196.00,96551.00,96966.00,97431.00,97935.00,98476.00,99053.00,99659.00,100286.00,100926.00,101584.00,102254.00,102910.00,103519.00,104058,..
CAN,Canada,27791000.00,28171681.96,28519597.36,28833410.36,29111906.40,29354000.00,29671900.00,29987200.00,30247900.00,30499200.00,30769700.00,31081900.00,31362000.00,31676000.00,31995000.00,32312000.00,32649000.00,32976000.00,33311400.00,33739900.00,34108752.00,..
KOR,Korea Rep.,42869000.00,43268000.00,43663000.00,44056000.00,44453000.00,45093000.00,45525000.00,45954000.00,46287000.00,46617000.00,47008000.00,47357000.00,47622000.00,47859000.00,48039000.00,48138000.00,48297000.00,48456000.00,48607000.00,48747000.00,48875000,..
CAF,Central African Republic,2934777.00,3007347.00,3084958.00,3165869.00,3247456.00,3327710.00,3406451.00,3484027.00,3559604.00,3632287.00,3701607.00,3767068.00,3829238.00,3890075.00,3952281.00,4017880.00,4087534.00,4160940.00,4237961.00,4318128.00,4401051.00,..
SVK,Slovak Republic,5283000.00,5283000.00,5306500.00,5324600.00,5347300.00,5363676.00,5373793.00,5383233.00,5390657.00,5395115.00,5388720.00,5378867.00,5379056.00,5379607.00,5382438.00,5387001.00,5391409.00,5397318.00,5406626.00,5418590.00,5433456.00,..
CYP,Cyprus,766663.00,783189.00,800707.00,818858.00,837205.00,855424.00,873277.00,890758.00,908059.00,925504.00,943294.00,961482.00,979874.00,998134.00,1015806.00,1032562.00,1048272.00,1063027.00,1077001.00,1090473.00,1103647,..
BIH,Bosnia and Herzegovina,4308197.00,4157485.00,3931372.00,3677379.00,3462032.00,3332098.00,3305672.00,3365616.00,3480285.00,3601438.00,3693698.00,3748370.00,3775883.00,3782717.00,3781358.00,3781001.00,3781588.00,3779034.00,3774164.00,3767683.00,3760149.00,..
SGP,Singapore,3047000.00,3135100.00,3230700.00,3313500.00,3419000.00,3524500.00,3670700.00,3796000.00,3927200.00,3958700.00,4027900.00,4138000.00,4176000.00,4114800.00,4166700.00,4265800.00,4401400.00,4588600.00,4839400.00,4987600.00,5076700.00,..
SOM,Somalia,6599249.00,6585079.00,6543380.00,6498410.00,6484228.00,6524697.00,6628554.00,6786636.00,6982940.00,7193120.00,7399033.00,7596920.00,7791254.00,7981955.00,8170899.00,8359859.00,8547497.00,8733493.00,8922260.00,9119848.00,9330872.00,..
UZB,Uzbekistan,20510000.00,20952000.00,21449000.00,21942000.00,22377000.00,22785000.00,23225000.00,23667000.00,24051000.00,24400000.00,24650000.00,24967000.00,25271800.00,25567700.00,25864386.00,26167369.00,26485800.00,26867800.00,27313700.00,27767100.00,28160361.37,..
ERI,Eritrea,3158295.00,3180430.00,3184019.00,3180541.00,3186063.00,3212503.00,3263016.00,3335157.00,3428264.00,3539885.00,3667576.00,3812473.00,3973973.00,4145500.00,4318343.00,4486155.00,4645837.00,4798561.00,4947521.00,5097998.00,5253676.00,..
POL,Poland,38118800.00,38244400.00,38364700.00,38459000.00,38543600.00,38587600.00,38618000.00,38650000.00,38666145.00,38658000.00,38453757.00,38248076.00,38230364.00,38204570.00,38182222.00,38165445.00,38141267.00,38120560.00,38125759.00,38151603.00,38187488.00,..
KWT,Kuwait,2087687.00,2031004.00,..,..,..,1627911.00,1628120.00,1678812.00,1763693.00,1857217.00,1940786.00,2009588.00,2069816.00,2126786.00,2189485.00,2264014.00,2351441.00,2447818.00,2548351.00,2646286.00,2736732.00,..
GAB,Gabon,929044.00,959631.00,991289.00,1023531.00,1055707.00,1087327.00,1118215.00,1148416.00,1177936.00,1206862.00,1235274.00,1263165.00,1290532.00,1317484.00,1344171.00,1370729.00,1397192.00,1423637.00,1450310.00,1477514.00,1505463.00,..
CYM,Cayman Islands,26048.00,27363.00,28710.00,30074.00,31437.00,32792.00,34096.00,35361.00,36704.00,38284.00,40195.00,42501.00,45117.00,47815.00,50273.00,52268.00,53712.00,54679.00,55295.00,55763.00,56230,..
EST,Estonia,1569000.00,1561000.00,1533000.00,1494000.00,1463000.00,1437000.00,1416000.00,1400000.00,1386200.00,1375649.33,1369512.61,1364097.50,1358641.02,1353520.15,1348998.52,1346097.00,1343547.00,1341672.00,1340675.00,1340271.00,1339646.00,..
MWI,Malawi,9380892.00,9583696.00,9681728.00,9721620.00,9772164.00,9883350.00,10070605.00,10319125.00,10612353.00,10922265.00,11228756.00,11529337.00,11833102.00,12144945.00,12472794.00,12822587.00,13195329.00,13589404.00,14005113.00,14442290.00,14900841.00,..
ESP,Spain,38836000.00,38939050.00,39067750.00,39189400.00,39294950.00,39387000.00,39478150.00,39582400.00,39721100.00,39926250.00,40263200.00,40720450.00,41313950.00,42004500.00,42691650.00,43398150.00,44116441.00,44878945.00,45555716.00,45908594.00,46081574.00,..
IRQ,Iraq,18194212.50,18706560.72,19233336.65,19774946.56,20331808.18,20904351.00,21545637.53,22206596.93,22887832.69,23589966.85,24313640.50,24937728.45,25577835.63,26234373.22,26907762.96,27598437.43,28432903.78,29292601.06,30178292.15,31090762.99,32030823.30,..
SLV,El Salvador,5332842.00,5413269.00,5498489.00,5584047.00,5663820.00,5733401.00,5791403.00,5839103.00,5878097.00,5911094.00,5940305.00,5966027.00,5988233.00,6008523.00,6028792.00,6050513.00,6074487.00,6100868.00,6129628.00,6160423.00,6192993.00,..
MLI,Mali,8672868.00,8861362.00,9076261.00,9313042.00,9564231.00,9824510.00,10092753.00,10371338.00,10662517.00,10969725.00,11295324.00,11639798.00,12001887.00,12380104.00,12772264.00,13176642.00,13592796.00,14020786.00,14459990.00,14909813.00,15369809.00,..
IRL,Ireland,3505800.00,3525700.00,3549100.00,3563300.00,3570700.00,3608841.00,3637510.00,3674171.00,3712696.00,3754786.00,3805174.00,3866243.00,3931947.00,3996521.00,4070262.00,4159914.00,4260341.00,4356931.00,4425683.00,4458942.00,4481430.00,..
IRN,Iran Islamic Rep.,54870583.00,56071545.00,57067645.00,57940444.00,58808655.00,59757114.00,60815686.00,61955730.00,63133032.00,64278307.00,65342319.00,66313553.00,67212850.00,68061695.00,68893323.00,69732007.00,70582086.00,71435498.00,72289291.00,73137148.00,73973630.00,..
ABW,Aruba,62147.00,64642.00,68286.00,72573.00,76762.00,80323.00,83069.00,85161.00,86827.00,88442.00,90271.00,92363.00,94596.00,96875.00,99046.00,100996.00,102711.00,104225.00,105526.00,106612.00,107488,..
PNG,Papua New Guinea,4157654.00,4261537.00,4368815.00,4479959.00,4595463.00,4715617.00,4840693.00,4970478.00,5104153.00,5240560.00,5378824.00,5518586.00,5659946.00,5803029.00,5948135.00,6095437.00,6244916.00,6396307.00,6549268.00,6703361.00,6858266.00,..
PAN,Panama,2415926.00,2466083.00,2517356.00,2569672.00,2622903.00,2676926.00,2731717.00,2787228.00,2843276.00,2899636.00,2956126.00,3012635.00,3069123.00,3125565.00,3181969.00,3238321.00,3294583.00,3350673.00,3406487.00,3461901.00,3516820.00,..
